len_diff,shingle_similarity_1,shingle_similarity_2,shingle_similarity_3
1,0.14814814814814814,0.14814814814814814,0.14814814814814814
8,0.37037037037037035,0.37037037037037035,0.37037037037037035
3,0.0,0.0,0.0
8,0.2,0.2,0.2
7,0.11538461538461539,0.11538461538461539,0.11538461538461539
7,0.2777777777777778,0.2777777777777778,0.2777777777777778
7,0.4375,0.4375,0.4375
2,0.3,0.3,0.3
1,0.0,0.0,0.0
0,0.0,0.0,0.0
3,0.12,0.12,0.12
1,0.0,0.0,0.0
12,0.18518518518518517,0.18518518518518517,0.18518518518518517
4,0.0,0.0,0.0
4,0.6923076923076923,0.6923076923076923,0.6923076923076923
13,0.0,0.0,0.0
7,0.0,0.0,0.0
6,0.0,0.0,0.0
3,0.47058823529411764,0.47058823529411764,0.47058823529411764
5,0.0,0.0,0.0
11,0.38461538461538464,0.38461538461538464,0.38461538461538464
5,0.0,0.0,0.0
5,0.0,0.0,0.0
2,0.3125,0.3125,0.3125
4,0.18181818181818182,0.18181818181818182,0.18181818181818182
1,0.0,0.0,0.0
3,0.13043478260869565,0.13043478260869565,0.13043478260869565
15,0.0,0.0,0.0
7,0.36,0.36,0.36
3,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.23333333333333334,0.23333333333333334,0.23333333333333334
11,0.10714285714285714,0.10714285714285714,0.10714285714285714
3,0.0,0.0,0.0
4,0.3684210526315789,0.3684210526315789,0.3684210526315789
18,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
1,0.10714285714285714,0.10714285714285714,0.10714285714285714
2,0.0,0.0,0.0
7,0.0,0.0,0.0
5,0.25806451612903225,0.25806451612903225,0.25806451612903225
1,0.0,0.0,0.0
5,0.0,0.0,0.0
3,0.2857142857142857,0.2857142857142857,0.2857142857142857
3,0.0,0.0,0.0
12,0.21428571428571427,0.21428571428571427,0.21428571428571427
8,0.0,0.0,0.0
5,0.22727272727272727,0.22727272727272727,0.22727272727272727
13,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.4,0.4,0.4
3,0.2,0.2,0.2
6,0.15,0.15,0.15
1,0.0,0.0,0.0
0,0.8823529411764706,0.8823529411764706,0.8823529411764706
3,0.23076923076923078,0.23076923076923078,0.23076923076923078
1,0.23529411764705882,0.23529411764705882,0.23529411764705882
10,0.15384615384615385,0.15384615384615385,0.15384615384615385
13,0.0,0.0,0.0
15,0.0,0.0,0.0
5,0.2,0.2,0.2
18,0.20833333333333334,0.20833333333333334,0.20833333333333334
1,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.5333333333333333,0.5333333333333333,0.5333333333333333
6,0.0,0.0,0.0
14,0.2692307692307692,0.2692307692307692,0.2692307692307692
3,0.0,0.0,0.0
21,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
3,0.0,0.0,0.0
10,0.11428571428571428,0.11428571428571428,0.11428571428571428
0,0.0,0.0,0.0
5,0.0,0.0,0.0
4,0.29411764705882354,0.29411764705882354,0.29411764705882354
3,0.0,0.0,0.0
5,0.0,0.0,0.0
14,0.25,0.25,0.25
1,0.35714285714285715,0.35714285714285715,0.35714285714285715
6,0.23809523809523808,0.23809523809523808,0.23809523809523808
4,0.0,0.0,0.0
8,0.35294117647058826,0.35294117647058826,0.35294117647058826
14,0.0,0.0,0.0
4,0.10344827586206896,0.10344827586206896,0.10344827586206896
5,0.0,0.0,0.0
1,0.2413793103448276,0.2413793103448276,0.2413793103448276
3,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
10,0.25925925925925924,0.25925925925925924,0.25925925925925924
3,0.4444444444444444,0.4444444444444444,0.4444444444444444
11,0.12,0.12,0.12
1,0.24,0.24,0.24
3,0.0,0.0,0.0
1,0.4166666666666667,0.4166666666666667,0.4166666666666667
1,0.0,0.0,0.0
5,0.0,0.0,0.0
4,0.0,0.0,0.0
